state,period,group,population,population_thousands,proxy
SP,2000,immigrant,1223684.1131693553,1223.6841131693552,Five-year state of residence
SP,2000,emigrant,883865.9704269895,883.8659704269895,Five-year state of residence
SP,2000,stayer,30357481.156777896,30357.481156777896,Five-year state of residence
TO,2000,immigrant,95429.7634546806,95.4297634546806,Five-year state of residence
TO,2000,emigrant,82504.39605257016,82.50439605257016,Five-year state of residence
TO,2000,stayer,825434.5124020241,825.4345124020241,Five-year state of residence
AC,2010,immigrant,13881.51609487929,13.881516094879292,Five-year state of residence
AC,2010,emigrant,14746.392950863143,14.746392950863143,Five-year state of residence
AC,2010,stayer,597581.589736587,597.581589736587,Five-year state of residence
AL,2010,immigrant,53589.09152138892,53.589091521388916,Five-year state of residence
AL,2010,emigrant,130306.16112199788,130.3061611219979,Five-year state of residence
AL,2010,stayer,2604506.4474147693,2604.5064474147694,Five-year state of residence
AM,2010,immigrant,71451.2926007577,71.45129260075771,Five-year state of residence
AM,2010,emigrant,51301.16358564662,51.30116358564662,Five-year state of residence
AM,2010,stayer,2856235.4185174233,2856.235418517423,Five-year state of residence
AP,2010,immigrant,37028.10710986116,37.02810710986116,Five-year state of residence
AP,2010,emigrant,15228.252795857848,15.228252795857848,Five-year state of residence
AP,2010,stayer,524382.945217877,524.382945217877,Five-year state of residence
BA,2010,immigrant,229224.29464422032,229.22429464422032,Five-year state of residence
BA,2010,emigrant,466359.7279095638,466.3597279095638,Five-year state of residence
BA,2010,stayer,11830118.378260793,11830.118378260793,Five-year state of residence
CE,2010,immigrant,112372.44493822579,112.37244493822578,Five-year state of residence
CE,2010,emigrant,181221.29979406472,181.22129979406472,Five-year state of residence
CE,2010,stayer,7206289.63568016,7206.289635680159,Five-year state of residence
DF,2010,immigrant,190422.12577966042,190.4221257796604,Five-year state of residence
DF,2010,emigrant,175870.2196051789,175.8702196051789,Five-year state of residence
DF,2010,stayer,2063927.7063709607,2063.9277063709605,Five-year state of residence
ES,2010,immigrant,130819.52762408755,130.81952762408756,Five-year state of residence
ES,2010,emigrant,70119.58266116591,70.11958266116591,Five-year state of residence
ES,2010,stayer,2861593.833915126,2861.593833915126,Five-year state of residence
GO,2010,immigrant,363933.42971655837,363.93342971655835,Five-year state of residence
GO,2010,emigrant,156106.9781050025,156.1069781050025,Five-year state of residence
GO,2010,stayer,4646258.735956512,4646.258735956512,Five-year state of residence
MA,2010,immigrant,105683.89751427743,105.68389751427743,Five-year state of residence
MA,2010,emigrant,270663.6670159061,270.66366701590607,Five-year state of residence
MA,2010,stayer,5419026.47223272,5419.02647223272,Five-year state of residence
MG,2010,immigrant,376520.52540612273,376.5205254061227,Five-year state of residence
MG,2010,emigrant,390614.19024418906,390.61419024418905,Five-year state of residence
MG,2010,stayer,16526261.428665439,16526.26142866544,Five-year state of residence
MS,2010,immigrant,98972.55990885032,98.97255990885033,Five-year state of residence
MS,2010,emigrant,80907.58884617337,80.90758884617337,Five-year state of residence
MS,2010,stayer,1931196.4268635944,1931.1964268635945,Five-year state of residence
MT,2010,immigrant,143953.88130191743,143.95388130191742,Five-year state of residence
MT,2010,emigrant,121589.37881780621,121.5893788178062,Five-year state of residence
MT,2010,stayer,2307488.3514030417,2307.4883514030416,Five-year state of residence
PA,2010,immigrant,162004.24250336652,162.00424250336653,Five-year state of residence
PA,2010,emigrant,201833.92088124176,201.83392088124177,Five-year state of residence
PA,2010,stayer,6081748.0643068515,6081.748064306851,Five-year state of residence
PB,2010,immigrant,96027.73550403707,96.02773550403707,Five-year state of residence
PB,2010,emigrant,125520.9229022836,125.52092290228359,Five-year state of residence
PB,2010,stayer,3172238.6226274697,3172.23862262747,Five-year state of residence
PE,2010,immigrant,148498.0405217553,148.49804052175529,Five-year state of residence
PE,2010,emigrant,223584.0418985236,223.5840418985236,Five-year state of residence
PE,2010,stayer,7409233.36223986,7409.23336223986,Five-year state of residence
PI,2010,immigrant,73614.39609164797,73.61439609164798,Five-year state of residence
PI,2010,emigrant,144037.14029210227,144.03714029210226,Five-year state of residence
PI,2010,stayer,2651880.769655963,2651.880769655963,Five-year state of residence
PR,2010,immigrant,272183.1500997062,272.1831500997062,Five-year state of residence
PR,2010,emigrant,293692.6638456273,293.6926638456273,Five-year state of residence
PR,2010,stayer,8565721.337627055,8565.721337627056,Five-year state of residence
RJ,2010,immigrant,270401.6359807621,270.4016359807621,Five-year state of residence
RJ,2010,emigrant,247308.50065554533,247.30850065554532,Five-year state of residence
RJ,2010,stayer,13900386.461459747,13900.386461459746,Five-year state of residence
RN,2010,immigrant,67728.02347265082,67.72802347265082,Five-year state of residence
